rowid;cor_raca;genero;outros_grupos;participou
1;Parda;Feminino;Pessoa com deficiência;NA
2;Parda;Feminino;LGBTQIA+;NA
3;Parda;Feminino;Moradora de periferia;NA
4;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
5;Parda;Feminino;Moradora de periferia;NA
6;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
7;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
8;Branca;Feminino;Moradora de periferia;NA
9;Amarela;Feminino;Não informado;sim
10;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
11;Branca;Feminino;Moradora de periferia;NA
12;Preta;Feminino;Migrante;sim
13;Parda;Feminino;Mãe, Moradora de periferia;NA
14;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
15;Branca;Feminino;LGBTQIA+, Pessoa com deficiência;sim
16;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
17;Branca;Feminino;Mãe, Moradora de periferia;sim
18;Preta;Feminino;Não faço parte de nenhum dos grupos acima;sim
19;Amarela;Feminino;LGBTQIA+;NA
20;Branca;Feminino;LGBTQIA+;sim
21;Branca;Feminino;Moradora de periferia;sim
22;Branca;Feminino;LGBTQIA+;sim
23;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
24;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
25;Preta;Feminino;Pessoa com deficiência, Moradora de periferia;sim
26;Parda;Feminino;Não faço parte de nenhum dos grupos acima;sim
27;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
28;Preta;Feminino;Mãe, Idade acima de 40 anos;sim
29;Preta;Feminino;Não informado;sim
30;Branca;Masculino;LGBTQIA+, Pessoa com deficiência;NA
31;Branca;Feminino;Moradora de periferia;sim
32;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
33;Branca;Feminino;LGBTQIA+;sim
34;Branca;Feminino;LGBTQIA+;sim
35;Branca;Masculino;Não faço parte de nenhum dos grupos acima;sim
36;Parda;Feminino;LGBTQIA+, Moradora de periferia;NA
37;Parda;Feminino;Moradora de periferia, Negras;NA
38;Branca;Feminino;Idade acima de 40 anos, Moradora de periferia;NA
39;Indígena;Feminino;Migrante, Idade acima de 40 anos, Moradora de periferia, Comunidade nativa dos Andes;NA
40;Preta;Masculino;Não faço parte de nenhum dos grupos acima;NA
41;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
42;Branca;Feminino;LGBTQIA+;NA
43;Parda;Feminino;Não informado;sim
44;Preta;Feminino;LGBTQIA+, Moradora de periferia;sim
45;Branca;Feminino;Mãe, Idade acima de 40 anos;sim
