,nome,verso
0,2001,Astronauta libertado
1,2001,Minha vida me ultrapassa
2,2001,Em qualquer rota que eu faça
3,2001,Dei um grito no escuro
4,2001,Sou parceiro do futuro
5,2001,Na reluzente galáxia
6,2001,"Eu quase posso palpar , a minha vida que grita"
7,2001,"Emprenha e se reproduz, na velocidade da luz"
8,2001,"A cor do céu me compõe, o mar azul me dissolve"
9,2001,"A equação me propõe, computador me resolve"
10,2001,Aahhh
11,2001,"Amei a velocidade, casei com 7 planetas"
12,2001,"Por filho cor e espaço , não me tenho nem me faço"
13,2001,"A rota do ano luz, calculo dentro do passo"
14,2001,"Minha dor é cicatriz, minha morte não me quis"
15,2001,"Nos braços de 2000 anos, eu nasci sem ter idade"
16,2001,"Sou casado, sou solteiro, sou baiano, estrangeiro"
17,2001,"Meu sangue é de gasolina, correndo não tenho mágoa"
18,2001,"Meu peito é de sal de fruta, fervendo num copo d''''água"
19,3001,Três mil e um
20,3001,Três mil e um
21,3001,Três mil e um
22,3001,Três mil e um
23,3001,Lá no meio do 2000
24,3001,O sol fraco se sentiu
25,3001,E a ciência decidiu
26,3001,Levar a terra e a lua
27,3001,Com Júpiter ao nosso lado
28,3001,Pra orbitar outra estrela
29,3001,De ciclo mais prolongado
30,3001,Três mil e um
31,3001,Três mil e um
32,3001,(Primeiro fez-se da lua
33,3001,Brilhante lâmpada atômica
34,3001,Pois Júpiter caloroso
35,3001,Uma vez aproximado
36,3001,Era um sol improvisado)
37,3001,Três mil e um
38,3001,Três mil e um
39,3001,Três mil e um
40,3001,"Assim, na longa viagem"
41,3001,De anos trezentos mil
42,3001,(Que no relativo do tempo
43,3001,Em nossa vida real
44,3001,Não durava mais que um pio)
45,3001,O dia seria quente
46,3001,Com Júpiter quase rente
47,3001,E a noite seria dia
48,3001,Onde a lua reluzia
49,3001,Três mil e um
50,3001,Três mil e um
51,3001,Três mil e um
52,3001,Três mil e um
53,3001,Três mil e um
54,3001,Três mil e um
55,3001,3 milumiticummili
56,3001,Trê mi li um um um
57,3001,Tressimulitrr
58,3001,Trêssit t t
59,3001,Trêsse mili t mili t mili um um um
60,3001,Trêre trêre trêre
61,A Fina Poeira do Ar,Bom te encontrar
62,A Fina Poeira do Ar,Flutuar
63,A Fina Poeira do Ar,Na fina poeira do ar
64,A Fina Poeira do Ar,Feito arte
65,A Fina Poeira do Ar,Feito parte
66,A Fina Poeira do Ar,Paisagens
67,A Fina Poeira do Ar,Pintura
68,A Fina Poeira do Ar,Miragem
69,A Fina Poeira do Ar,Eu sei que o medo não faz sentido
70,A Fina Poeira do Ar,Eu sei que o mundo
71,A Fina Poeira do Ar,Tem que ser vivido bem de perto
72,A Fina Poeira do Ar,Não tão distante assim
73,A Fina Poeira do Ar,Sempre de perto
74,A Fina Poeira do Ar,Sempre perto de mim
75,A Fina Poeira do Ar,Bom te falar
76,A Fina Poeira do Ar,E voar
77,A Fina Poeira do Ar,Colada no teto do céu
78,A Fina Poeira do Ar,Sem limite
79,A Fina Poeira do Ar,Sem convite
80,A Fina Poeira do Ar,Vivendo de hotel em hotel
81,A Fina Poeira do Ar,Eu sei que o mundo não faz sentido
82,A Fina Poeira do Ar,Mas sei que o medo
83,A Fina Poeira do Ar,Tem que ser vivido
84,A Fina Poeira do Ar,Ver de perto
85,A Fina Poeira do Ar,Não tão distante assim
86,A Fina Poeira do Ar,Num instante
87,A Fina Poeira do Ar,Chega junto de mim
88,A Fina Poeira do Ar,Na fina poeira do ar
89,A Fina Poeira do Ar,Na fina poeira do ar
90,A Fina Poeira do Ar,Talves paixão
91,A Fina Poeira do Ar,Talvez não
92,A Fina Poeira do Ar,Antidoto pra solidão
93,A Fina Poeira do Ar,E a bebida
94,A Fina Poeira do Ar,Suas mãos
95,A Fina Poeira do Ar,Apertam o meu coração
96,A Fina Poeira do Ar,Eu sei que o mundo não faz sentido
