nome,verso
2001,"Astronauta libertadoMinha vida me ultrapassaEm qualquer rota que eu façaDei um grito no escuroSou parceiro do futuroNa reluzente galáxiaEu quase posso palpar , a minha vida que gritaEmprenha e se reproduz, na velocidade da luzA cor do céu me compõe, o mar azul me dissolveA equação me propõe, computador me resolveAahhhAmei a velocidade, casei com 7 planetasPor filho cor e espaço , não me tenho nem me façoA rota do ano luz, calculo dentro do passoMinha dor é cicatriz, minha morte não me quisNos braços de 2000 anos, eu nasci sem ter idadeSou casado, sou solteiro, sou baiano, estrangeiroMeu sangue é de gasolina, correndo não tenho mágoaMeu peito é de sal de fruta, fervendo num copo d''''água"
Faça parte  dessa comunidade,"Astronauta libertadoMinha vida me ultrapassaEm qualquer rota que eu façaDei um grito no escuroSou parceiro do futuroNa reluzente galáxiaEu quase posso palpar , a minha vida que gritaEmprenha e se reproduz, na velocidade da luzA cor do céu me compõe, o mar azul me dissolveA equação me propõe, computador me resolveAahhhAmei a velocidade, casei com 7 planetasPor filho cor e espaço , não me tenho nem me façoA rota do ano luz, calculo dentro do passoMinha dor é cicatriz, minha morte não me quisNos braços de 2000 anos, eu nasci sem ter idadeSou casado, sou solteiro, sou baiano, estrangeiroMeu sangue é de gasolina, correndo não tenho mágoaMeu peito é de sal de fruta, fervendo num copo d''''água"
3001,"Três mil e umTrês mil e umTrês mil e umTrês mil e umLá no meio do 2000O sol fraco se sentiuE a ciência decidiuLevar a terra e a luaCom Júpiter ao nosso ladoPra orbitar outra estrelaDe ciclo mais prolongadoTrês mil e umTrês mil e um(Primeiro fez-se da luaBrilhante lâmpada atômicaPois Júpiter calorosoUma vez aproximadoEra um sol improvisado)Três mil e umTrês mil e umTrês mil e umAssim, na longa viagemDe anos trezentos mil(Que no relativo do tempoEm nossa vida realNão durava mais que um pio)O dia seria quenteCom Júpiter quase renteE a noite seria diaOnde a lua reluziaTrês mil e umTrês mil e umTrês mil e umTrês mil e umTrês mil e umTrês mil e um3 milumiticummiliTrê mi li um um umTressimulitrrTrêssit t tTrêsse mili t mili t mili um um umTrêre trêre trêre"
Faça parte  dessa comunidade,"Três mil e umTrês mil e umTrês mil e umTrês mil e umLá no meio do 2000O sol fraco se sentiuE a ciência decidiuLevar a terra e a luaCom Júpiter ao nosso ladoPra orbitar outra estrelaDe ciclo mais prolongadoTrês mil e umTrês mil e um(Primeiro fez-se da luaBrilhante lâmpada atômicaPois Júpiter calorosoUma vez aproximadoEra um sol improvisado)Três mil e umTrês mil e umTrês mil e umAssim, na longa viagemDe anos trezentos mil(Que no relativo do tempoEm nossa vida realNão durava mais que um pio)O dia seria quenteCom Júpiter quase renteE a noite seria diaOnde a lua reluziaTrês mil e umTrês mil e umTrês mil e umTrês mil e umTrês mil e umTrês mil e um3 milumiticummiliTrê mi li um um umTressimulitrrTrêssit t tTrêsse mili t mili t mili um um umTrêre trêre trêre"
A Fina Poeira do Ar,"Bom te encontrarFlutuarNa fina poeira do arFeito arteFeito partePaisagensPinturaMiragemEu sei que o medo não faz sentidoEu sei que o mundoTem que ser vivido bem de pertoNão tão distante assimSempre de pertoSempre perto de mimBom te falarE voarColada no teto do céuSem limiteSem conviteVivendo de hotel em hotelEu sei que o mundo não faz sentidoMas sei que o medoTem que ser vividoVer de pertoNão tão distante assimNum instanteChega junto de mimNa fina poeira do arNa fina poeira do arTalves paixãoTalvez nãoAntidoto pra solidãoE a bebidaSuas mãosApertam o meu coraçãoEu sei que o mundo não faz sentidoEu sei que tudoTem que ser vividoVer de pertoNão tão distante assimBaby de pertoSempre perto de mimNa fina poeira do arNa fina poeira do ar""Quando voltarmos a nos reunir...então,nós três,na chuva,no corisco ou no trovãoQuando no fim de toda essacorrida a batalha estiver ganhae perdida e nós já estamos indoO que é bom será mau e o queé mau será bom''"
Faça parte  dessa comunidade,"Bom te encontrarFlutuarNa fina poeira do arFeito arteFeito partePaisagensPinturaMiragemEu sei que o medo não faz sentidoEu sei que o mundoTem que ser vivido bem de pertoNão tão distante assimSempre de pertoSempre perto de mimBom te falarE voarColada no teto do céuSem limiteSem conviteVivendo de hotel em hotelEu sei que o mundo não faz sentidoMas sei que o medoTem que ser vividoVer de pertoNão tão distante assimNum instanteChega junto de mimNa fina poeira do arNa fina poeira do arTalves paixãoTalvez nãoAntidoto pra solidãoE a bebidaSuas mãosApertam o meu coraçãoEu sei que o mundo não faz sentidoEu sei que tudoTem que ser vividoVer de pertoNão tão distante assimBaby de pertoSempre perto de mimNa fina poeira do arNa fina poeira do ar""Quando voltarmos a nos reunir...então,nós três,na chuva,no corisco ou no trovãoQuando no fim de toda essacorrida a batalha estiver ganhae perdida e nós já estamos indoO que é bom será mau e o queé mau será bom''"
A Fulana,"Quem mandou não ouvir seu amigoPois ele tinha toda razãoVocê não quis ficar comigoAgora eu não quero mais nãoOlha, meu queridoSeu amigoMe contou que uma fulanaAssim do nada, de repente, apareceuNo fim quem se deu bem fui euA vida tem dissoNa beira de um precipícioEu tava láQuerendo não querendo pularNa hora H um anjo chegouMe deu um beijo e se declarouTchau pra vocêSeu amigo é um cara bacanaE sempre foi afim de mimVocê não, não, não penseQue é tão bom de camaSua fama é assim, assimVocê não sabeVocê não é mauMas seu amigo é bem mais legalE não esqueça que agora sou euA namoradinha de um amigo seuA vida tem dissoNo fim tudo faz sentidoEntão até maisNão adianta olhar para trásEncontrei alguém que me amaFique em paz com sua fulanaTchau pra você"
Faça parte  dessa comunidade,"Quem mandou não ouvir seu amigoPois ele tinha toda razãoVocê não quis ficar comigoAgora eu não quero mais nãoOlha, meu queridoSeu amigoMe contou que uma fulanaAssim do nada, de repente, apareceuNo fim quem se deu bem fui euA vida tem dissoNa beira de um precipícioEu tava láQuerendo não querendo pularNa hora H um anjo chegouMe deu um beijo e se declarouTchau pra vocêSeu amigo é um cara bacanaE sempre foi afim de mimVocê não, não, não penseQue é tão bom de camaSua fama é assim, assimVocê não sabeVocê não é mauMas seu amigo é bem mais legalE não esqueça que agora sou euA namoradinha de um amigo seuA vida tem dissoNo fim tudo faz sentidoEntão até maisNão adianta olhar para trásEncontrei alguém que me amaFique em paz com sua fulanaTchau pra você"
A Gripe do Amor,"Não há vacinaNem vitaminaPega só de olharHan! Han!Não tem benzedeiraChá de erva cidreiraCapaz de curarUh! Uh! Uh!A gripe do amorHum! Hum!A gripe do amorHum! Hum!A gripe do amorAmor!...Causa dependênciaProvoca furorManemolênciaHan! Han!O coração não bateApanha!A alma faz mãnhaUh! Uh!...Peguei a gripe do amorNão adianta doutorTô tendo um piripaquePor favor não me salveQuero morrer de amorSe você me amaVem ficar de camaVem cuidar de mimPor uma semanaUm mês, um anoA vida inteiraUh! Uh! Uh!...Peguei a gripe do amorNão adianta doutorTô tendo um piripaquePor favor não me salveQuero morrer de amorA Gripe do Amor!"
Faça parte  dessa comunidade,"Não há vacinaNem vitaminaPega só de olharHan! Han!Não tem benzedeiraChá de erva cidreiraCapaz de curarUh! Uh! Uh!A gripe do amorHum! Hum!A gripe do amorHum! Hum!A gripe do amorAmor!...Causa dependênciaProvoca furorManemolênciaHan! Han!O coração não bateApanha!A alma faz mãnhaUh! Uh!...Peguei a gripe do amorNão adianta doutorTô tendo um piripaquePor favor não me salveQuero morrer de amorSe você me amaVem ficar de camaVem cuidar de mimPor uma semanaUm mês, um anoA vida inteiraUh! Uh! Uh!...Peguei a gripe do amorNão adianta doutorTô tendo um piripaquePor favor não me salveQuero morrer de amorA Gripe do Amor!"
