artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.735,0.513,2,-9.369,1,0.0299,0.0311,0.414,0.116,0.547,119.978,4CFOKrbwh1FuR5xBvOWG2R,https://api.spotify.com/v1/audio-analysis/4CFOKrbwh1FuR5xBvOWG2R,4,,,1,356886,FALSE,https://api.spotify.com/v1/tracks/4CFOKrbwh1FuR5xBvOWG2R,FALSE,Só De Você - Coppola Remix,NA,1,track,spotify:track:4CFOKrbwh1FuR5xBvOWG2R,https://open.spotify.com/track/4CFOKrbwh1FuR5xBvOWG2R,Rita Lee & Roberto - Classix Remix Vol. III,D,major,D major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.802,0.638,2,-7.968,1,0.0319,0.00549,0.0234,0.216,0.685,127.982,1VM1W9cMkrHmrXIPVNz7Uw,https://api.spotify.com/v1/audio-analysis/1VM1W9cMkrHmrXIPVNz7Uw,4,,,1,216585,FALSE,https://api.spotify.com/v1/tracks/1VM1W9cMkrHmrXIPVNz7Uw,FALSE,Pega Rapaz - Gui Boratto & JUNIOR_C Remix,NA,2,track,spotify:track:1VM1W9cMkrHmrXIPVNz7Uw,https://open.spotify.com/track/1VM1W9cMkrHmrXIPVNz7Uw,Rita Lee & Roberto - Classix Remix Vol. III,D,major,D major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.755,0.712,5,-7.696,1,0.0397,4.66e-4,0.258,0.221,0.835,127.986,4Mjcd2dSsStATQcRPSngTH,https://api.spotify.com/v1/audio-analysis/4Mjcd2dSsStATQcRPSngTH,4,,,1,369843,FALSE,https://api.spotify.com/v1/tracks/4Mjcd2dSsStATQcRPSngTH,FALSE,Banho De Espuma - Fatnotronic & Emmo Remix,NA,3,track,spotify:track:4Mjcd2dSsStATQcRPSngTH,https://open.spotify.com/track/4Mjcd2dSsStATQcRPSngTH,Rita Lee & Roberto - Classix Remix Vol. III,F,major,F major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.821,0.769,9,-9.791,1,0.0707,0.00149,0.726,0.0469,0.438,125,4LR929DXbbm4Cb5WDHqbDw,https://api.spotify.com/v1/audio-analysis/4LR929DXbbm4Cb5WDHqbDw,4,,,1,524638,FALSE,https://api.spotify.com/v1/tracks/4LR929DXbbm4Cb5WDHqbDw,FALSE,Nem Luxo Nem Lixo - Reboot Remix,NA,4,track,spotify:track:4LR929DXbbm4Cb5WDHqbDw,https://open.spotify.com/track/4LR929DXbbm4Cb5WDHqbDw,Rita Lee & Roberto - Classix Remix Vol. III,A,major,A major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.852,0.715,0,-8.402,1,0.0427,0.0304,0.517,0.0426,0.677,123.002,218IuB6ZcIdsaQKQIWbX1y,https://api.spotify.com/v1/audio-analysis/218IuB6ZcIdsaQKQIWbX1y,4,,,1,320488,FALSE,https://api.spotify.com/v1/tracks/218IuB6ZcIdsaQKQIWbX1y,FALSE,Tatibitati - Renato Ratier feat Tqt Remix,NA,5,track,spotify:track:218IuB6ZcIdsaQKQIWbX1y,https://open.spotify.com/track/218IuB6ZcIdsaQKQIWbX1y,Rita Lee & Roberto - Classix Remix Vol. III,C,major,C major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.656,0.734,4,-9.859,0,0.0314,0.125,0.476,0.104,0.357,125.007,1caGkW2kM9Jc2UHt0kZ0XI,https://api.spotify.com/v1/audio-analysis/1caGkW2kM9Jc2UHt0kZ0XI,4,,,1,298095,FALSE,https://api.spotify.com/v1/tracks/1caGkW2kM9Jc2UHt0kZ0XI,FALSE,Shangrila - Elekfantz Remix,NA,6,track,spotify:track:1caGkW2kM9Jc2UHt0kZ0XI,https://open.spotify.com/track/1caGkW2kM9Jc2UHt0kZ0XI,Rita Lee & Roberto - Classix Remix Vol. III,E,minor,E minor
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.648,0.69,2,-10.21,1,0.0327,0.0789,0.147,0.128,0.334,125.027,2DcJkWo9Bs8Jv5u0JKxI7W,https://api.spotify.com/v1/audio-analysis/2DcJkWo9Bs8Jv5u0JKxI7W,4,,,1,425417,FALSE,https://api.spotify.com/v1/tracks/2DcJkWo9Bs8Jv5u0JKxI7W,FALSE,Lança Perfume - Axel Boman Remix,NA,7,track,spotify:track:2DcJkWo9Bs8Jv5u0JKxI7W,https://open.spotify.com/track/2DcJkWo9Bs8Jv5u0JKxI7W,Rita Lee & Roberto - Classix Remix Vol. III,D,major,D major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.801,0.756,2,-6.567,1,0.0502,0.00127,0.726,0.215,0.703,125.99,6E1PRwsmpBTgLkG7K0EO4S,https://api.spotify.com/v1/audio-analysis/6E1PRwsmpBTgLkG7K0EO4S,4,,,1,236218,FALSE,https://api.spotify.com/v1/tracks/6E1PRwsmpBTgLkG7K0EO4S,FALSE,Saúde - DEE:VISION Remix,NA,8,track,spotify:track:6E1PRwsmpBTgLkG7K0EO4S,https://open.spotify.com/track/6E1PRwsmpBTgLkG7K0EO4S,Rita Lee & Roberto - Classix Remix Vol. III,D,major,D major
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.699,0.736,5,-8.091,0,0.042,0.00608,0.00977,0.166,0.776,106.62,6p6QtTPV89cZJ7AMJowlCR,https://api.spotify.com/v1/audio-analysis/6p6QtTPV89cZJ7AMJowlCR,4,,,1,270967,FALSE,https://api.spotify.com/v1/tracks/6p6QtTPV89cZJ7AMJowlCR,FALSE,Agora É Moda - Cobblestone Jazz Remix,NA,9,track,spotify:track:6p6QtTPV89cZJ7AMJowlCR,https://open.spotify.com/track/6p6QtTPV89cZJ7AMJowlCR,Rita Lee & Roberto - Classix Remix Vol. III,F,minor,F minor
Rita Lee,7dnT2FUXhjirperXaH22IJ,0rZu9DYrrdzdOUQ7Nm2QB8,album,,2021-06-25,2021,day,0.754,0.898,0,-9.633,1,0.0372,0.0703,0.694,0.104,0.23,129.994,7M1FutQXBlKwMfQg1kNZUH,https://api.spotify.com/v1/audio-analysis/7M1FutQXBlKwMfQg1kNZUH,4,,,1,278951,FALSE,https://api.spotify.com/v1/tracks/7M1FutQXBlKwMfQg1kNZUH,FALSE,Mania De Você - Guti feat Sarkis Remix,NA,10,track,spotify:track:7M1FutQXBlKwMfQg1kNZUH,https://open.spotify.com/track/7M1FutQXBlKwMfQg1kNZUH,Rita Lee & Roberto - Classix Remix Vol. III,C,major,C major
